Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
1128434,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej","Danusia Stok, Peter Kenny",0575077832,9780575077836,4,4.15,Gollancz,Hardcover,384,2007,1993,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Fantasy|5633;Fiction|720;Short Stories|375;European Literature,Polish Literature|185;Fantasy,High Fantasy|182"
3283052,"Das Schwert der Vorsehung (Hexer, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",Erik Simon,3423210699,9783423210690,4,4.32,Deutscher Taschenbuch Verlag,Paperback,464,2008,1992,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Fantasy|2474;Fiction|266;Short Stories|199;European Literature,Polish Literature|145"
6043781,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,031602919X,9780316029193,4,4.13,Hachette Book Group,Mass Market Paperback,420,2009,1994,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Fantasy|2943;Fiction|323;European Literature,Polish Literature|162"
7289543,"Feuertaufe (Hexer, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Erik Simon,342324755X,9783423247559,4,4.31,Deutscher Taschenbuch Verlag,Paperback,432,2009,1996,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Fantasy|1770;Fiction|178;European Literature,Polish Literature|126"
7490447,"Der Schwalbenturm (Hexer, #6)",Andrzej Sapkowski,"Sapkowski, Andrzej",Erik Simon,342324786X,9783423247863,4,4.29,Deutscher Taschenbuch Verlag,Paperback,544,2010,1997,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Fantasy|1541;Fiction|158;European Literature,Polish Literature|116"
8607247,"Die Dame vom See (Hexer, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",Erik Simon,3423248173,9783423248174,4,4.2,Deutscher Taschenbuch Verlag,Paperback,640,2011,1999,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Fantasy|1346;Fiction|140;European Literature,Polish Literature|108"
15821931,Jam,Yahtzee Croshaw,"Croshaw, Yahtzee",,1595829571,9781595829573,4,3.69,Dark Horse,Paperback,398,2012,2012,2014/01/01,2014/05/10,,,read,,,,1,,,0,,,,,,",2014-01-01","Science Fiction|51;Horror|46;Humor|45;Fiction|45;Humor,Comedy|32"
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,1841499889,9781841499888,4,4.26,Orbit,Paperback,561,2011,2011,2014/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2014-01-01","Science Fiction|4424;Fiction|1326;Space,Space Opera|826"
12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,1841499900,9781841499901,4,4.34,Orbit (Hachette),Paperback,595,2012,2012,2014/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2014-01-01","Science Fiction|2370;Fiction|644;Space,Space Opera|498;Space|141;Science Fiction Fantasy|129;Audiobook|120;Fantasy|70;Adventure|60;Novels|48;Science Fiction,Aliens|48"
16131032,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,"Corey, James S.A.",,0316129070,9780316129077,4,4.24,Orbit,Paperback,539,2013,2013,2014/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2014-01-01","Science Fiction|1969;Fiction|509;Space,Space Opera|400"
10648878,"The Departure (Owner Trilogy, #1)",Neal Asher,"Asher, Neal",,0230708730,9780230708730,4,3.84,Tor,Hardcover,498,2011,2011,2014/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2014-01-01","Science Fiction|189;Science Fiction,Dystopia|28;Fiction|26;Space,Space Opera|24"
